title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
Hustlers The	1961	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hyde Park on Hudson	2012	NULL	NULL	2012-12-07	94	5.7	tt1477855	Comedy-Drama-History
Hysteria	2011	NULL	NULL	2011-11-17	100	5.9	tt1435513	Comedy-Romance
Hunting Elephants	2013	2300000	4500000	2013-07-03	107	5	tt2295196	Comedy-Crime
Hana to Arisu	2004	NULL	NULL	2004-03-13	135	7.3	tt0407851	Comedy-Drama-Romance
Harold and Maude	1971	1200000	NULL	1971-12-20	91	7.6	tt0067185	Comedy-Drama-Romance
Hot Young Bloods	2014	NULL	NULL	2014-01-22	121	7	tt3579990	Comedy-Drama-Romance-Foreign
Harrigan	2013	NULL	NULL	2013-09-20	97	6.5	tt2115325	Action-Crime
How Video Games Changed the World	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hey Bartender	2013	NULL	NULL	2013-06-07	92	5.5	tt2678448	NULL
Harry and the Hendersons	1987	NULL	NULL	1987-06-05	110	7.7	tt0093148	Comedy-Drama-Fantasy-Family
Hallelujah Trail The	1965	NULL	NULL	1965-06-23	165	7.7	tt0059250	Action-Comedy-Western
Helium	2014	NULL	NULL	2014-01-26	89	NULL	tt2511594	NULL
Hide Your Smiling Faces	2013	NULL	NULL	2014-03-25	81	7.5	tt1964773	Drama
Home Invasion	2012	4000000	NULL	2012-09-08	NULL	4.8	tt1843171	Action-Thriller
Holy Ghost People	2013	NULL	NULL	2013-03-10	93	6	tt2298224	Drama-Thriller
Hotel Transylvania	2012	85000000	346000000	2012-09-27	91	6.5	tt0837562	Animation-Comedy-Fantasy-Family
Harts War	2002	60000000	19076815	2002-02-15	125	6.1	tt0251114	Drama-War
Halimin put	2012	NULL	NULL	2012-07-25	105	NULL	tt2244877	Drama
Hare Ram	2008	NULL	NULL	2008-07-18	150	NULL	tt1281841	Action-Romance
Haunters	2010	NULL	NULL	2010-11-10	100	6	tt1900891	Thriller-Foreign
Hanuman klook foon	2008	NULL	NULL	2008-08-12	98	NULL	tt1320380	Action
Hateship Loveship	2013	NULL	NULL	2014-04-11	103	5.3	tt2463512	Drama
House of Yes The	1997	1500000	626057	1997-10-10	85	4	tt0119324	Comedy-Drama-Indie
Hungama	2003	NULL	NULL	2003-08-01	153	6.7	tt0371735	Comedy-Foreign
Hilary and Jackie	1998	NULL	NULL	1998-12-30	121	6.1	tt0150915	Drama-Foreign
Homam	2008	NULL	NULL	2008-08-28	148	NULL	tt1553000	NULL
Holocaust 2000	2000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hell to Eternity	1960	NULL	NULL	1960-08-01	131	NULL	tt0053901	Drama-War
Haunted	2014	5000	750000	2013-03-31	93	10	tt2133234	Horror
Hammer of the Gods	2013	NULL	NULL	2013-07-05	99	4.8	tt2193418	Action
Host The	2013	44000000	NULL	2013-03-29	125	5.8	tt1517260	Action-Adventure-Science Fiction-Thriller-Romance
Hatchet III	2013	NULL	NULL	2013-06-14	89	5.3	tt1870419	Action-Comedy-Horror-Thriller
Himmatwala	2013	NULL	NULL	2013-03-29	NULL	7.7	tt2344678	NULL
Hummingbird	2013	20000000	8352885	2013-06-27	100	5.8	tt1893256	Action-Thriller
Hababam sinifi sinifta kaldi	1975	NULL	NULL	1975-04-15	91	10	tt0252488	NULL
History of the Eagles Part One	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hell Baby	2013	NULL	NULL	2013-09-06	98	4.9	tt2318527	Comedy-Horror
Hot Shots Part Deux	1993	NULL	38612933	1993-05-21	86	6	tt0107144	Action-Comedy-War
Hype	1996	NULL	NULL	1996-11-08	84	7.5	tt0116589	Documentary-Music
Hoi sa won	2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hyeongsa	2005	NULL	NULL	2005-09-08	111	7.7	tt0475616	Action-Eastern
Honeydripper	2007	NULL	NULL	2007-09-10	124	6	tt0829193	Drama-Music
Helen of Troy	2003	NULL	NULL	2003-04-19	175	NULL	tt0340477	Action-Adventure-Drama-History-Romance
How to Make Money Selling Drugs	2012	NULL	NULL	2012-09-07	96	6.9	tt1276962	Documentary
Hansel & Gretel: Witch Hunters	2013	50000000	224803475	2013-01-25	88	5.5	tt1428538	Action-Fantasy-Horror
Hors Satan	2011	NULL	NULL	2011-10-19	110	7.5	tt1666168	Drama-Foreign
Hollywood Ending	2002	NULL	NULL	2002-05-03	112	6.9	tt0278823	Comedy-Drama
Hidden Agenda	1990	NULL	1030938	1990-11-21	108	10	tt0099768	Drama-Mystery-Thriller
Hable con ella	2002	9285469	51001550	2002-03-14	112	7.3	tt0287467	Drama-Romance
Hick	2011	NULL	NULL	2012-05-11	99	5.7	tt1205558	Comedy-Drama
House Party: Tonights the Night	2013	NULL	NULL	2013-07-23	80	3.5	tt2631862	NULL
Hostile Waters	1997	NULL	NULL	1997-10-18	94	6	tt0119320	Drama-Thriller-War
Hope for Love	2013	NULL	NULL	2013-01-01	80	2.8	tt2303074	NULL
Home Run	2013	1200000	NULL	2013-04-19	114	5.7	tt2051894	Drama
Hannah Arendt	2012	NULL	NULL	2012-09-11	113	6.7	tt1674773	Drama
Horea	1984	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hollywood Knights The	1980	NULL	NULL	1980-05-30	91	7.6	tt0080881	Comedy
Harishchandrachi Factory	2009	NULL	NULL	2009-07-01	96	8	tt1524539	Comedy-Drama-Foreign
Harragas	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
House Arrest	1996	NULL	NULL	1996-08-14	108	5.5	tt0116571	Comedy-Family
Hard Word The	2002	NULL	NULL	2002-05-30	102	6.3	tt0280490	Action-Comedy-Crime-Foreign
Hulchul	2004	NULL	NULL	2004-11-26	168	5.8	tt0437238	Comedy-Drama-Romance-Foreign
Hallows Eve	2013	300000	NULL	2013-10-01	78	NULL	tt2106440	Horror
Heart of the Country	2013	NULL	NULL	2013-08-19	87	NULL	tt2231251	Drama-Romance
Hilton	2013	NULL	NULL	2013-01-01	71	NULL	tt2261629	Documentary
Home Run Showdown	2012	NULL	NULL	2012-07-27	95	5	tt1680311	Family
How to Survive a Plague	2012	NULL	NULL	2012-09-20	120	7.5	tt2124803	Documentary
Hayride	2012	60000	NULL	2012-10-13	90	2.3	tt1861343	Horror-Thriller
Hai Alarm am Muggelsee	2013	3774400	NULL	2013-03-12	99	5.3	tt2352394	Comedy
How to Steal 2 Million	2011	NULL	NULL	2011-09-02	88	NULL	tt1977817	NULL
Hideaways	2011	NULL	NULL	2011-11-23	90	NULL	tt1692098	Fantasy-Science Fiction
How to Start a Revolution	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hole in One	2010	NULL	NULL	2010-09-12	95	4.3	tt1263800	Comedy
Hatchet II	2010	2500000	52604	2010-10-01	89	5.7	tt1270835	Comedy-Horror-Thriller
Hollow Man	2000	90000000	73209340	2000-08-04	112	5.7	tt0164052	Action-Science Fiction-Thriller
Hawking	2013	NULL	NULL	2013-03-11	86	7	tt2830416	Documentary
Het echte leven	2008	NULL	NULL	2008-09-25	87	NULL	tt1087453	Drama
Haunter	2013	NULL	NULL	2013-10-25	97	6.4	tt2345567	Horror-Mystery-Thriller
Hebi ichigo	2003	NULL	NULL	2003-09-06	108	NULL	tt0359395	Comedy-Drama
Hellbenders	2012	NULL	NULL	2013-10-18	85	6.2	tt1865393	Comedy-Horror-Thriller
Hideous Kinky	1998	NULL	NULL	1998-02-05	98	8	tt0136244	Drama-Indie-Foreign
Helle	1972	NULL	NULL	NULL	NULL	NULL	NULL	NULL
How much Wood Would a Woodchuck Chuck	1976	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Harder They Fall The	1956	NULL	NULL	1956-05-09	109	6.5	tt0049291	Drama
How Green Was My Valley	1941	NULL	NULL	1941-10-28	118	8.4	tt0033729	Drama
Headshot	2011	NULL	NULL	2011-11-24	105	5.9	tt1682186	Crime-Drama-Thriller
Hollywoo	2011	NULL	NULL	2011-12-07	107	5.9	tt1730697	Comedy
Happythankyoumoreplease	2010	NULL	215576	2010-01-20	100	6.5	tt1481572	Comedy-Romance-Indie
Hello Goodbye	2008	NULL	NULL	2008-11-26	99	5.5	tt1160012	Comedy-Drama-Romance-Foreign
Hotel California	2008	NULL	NULL	2008-07-25	NULL	NULL	tt0866435	Action-Thriller-Indie
Hours	2013	4000000	NULL	2013-12-12	97	6.5	tt2094018	Drama-Thriller
Haunted Universities	2009	NULL	NULL	2009-10-21	90	5	tt1743701	Horror
How I Live Now	2013	NULL	NULL	2013-11-08	101	6.5	tt1894476	Action-Drama-Thriller-War
Hello Herman	2012	1500000	NULL	2012-06-05	88	5.5	tt1876330	Drama
Highway	2012	NULL	NULL	2012-07-20	80	NULL	tt2210657	NULL
Hachi: A Dogs Tale	2009	16000000	47801389	2009-01-01	93	7.4	tt1028532	Drama-Family
Hum Aapke Hain Koun	1994	NULL	26900000	1994-08-05	206	6.1	tt0110076	Drama-Romance-Foreign
Horror Story	2013	NULL	NULL	2013-09-13	91	NULL	tt3177332	Horror
Happy People: A Year in the Taiga	2010	NULL	NULL	2010-09-03	90	7.6	tt1683876	Documentary-Foreign
Hak bak do	2006	NULL	NULL	2006-08-31	88	3	tt0845464	Action-Crime-Drama-Thriller-Foreign
Happy Feet Two	2011	130000000	150406466	2011-11-17	100	5.9	tt1402488	Animation
Hate Story	2012	NULL	NULL	2012-04-20	141	8	tt2309987	Drama-Thriller-Romance-Foreign
Hereafter	2010	50000000	32741596	2010-10-15	129	5.4	tt1212419	Drama-Fantasy
Horrible Way to Die A	2010	NULL	NULL	2010-11-06	87	6.5	tt1617620	Horror-Thriller
Hurricane Season	2009	NULL	NULL	2009-12-08	NULL	5	tt1172998	Drama
Hasta la Vista	2011	NULL	NULL	2011-09-02	115	6.4	tt1753887	Comedy-Drama
Hoisawon	2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hum SaathSaath Hain: We Stand United	1999	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Happy Family	2010	NULL	NULL	2010-03-26	90	5.8	tt1455810	Comedy
Human Zoo	2009	NULL	NULL	2009-09-01	110	6	tt1290419	Drama-Foreign
Hes Way More Famous Than You	2013	NULL	NULL	2013-05-10	98	6	tt2076216	Comedy
Her	2013	23000000	47351251	2013-12-18	126	8	tt1798709	Comedy-Drama-Science Fiction-Romance
Hearts in Atlantis	2001	31000000	24185781	2001-09-28	101	7.1	tt0252501	Drama-Mystery-Thriller
Holy Matrimony	1994	NULL	616938	1994-04-08	93	4.5	tt0110044	Comedy
Human Stain The	2003	30000000	NULL	2003-10-31	106	6.6	tt0308383	Drama-Mystery-Thriller-Romance
Homefront	2013	70000000	NULL	2013-11-27	100	6.6	tt2312718	Action-Thriller
Heli	2013	1000000	NULL	2013-08-09	105	5.5	tt2852376	Drama
House of 1000 Corpses	1000	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Helen of Troy	1956	NULL	NULL	1956-01-26	118	7	tt0049301	Action-Adventure-Drama-Romance-War
Hello Hemingway	1990	NULL	NULL	1990-12-01	85	NULL	tt0102025	Drama
Hush Hush Sweet Charlotte	1964	NULL	NULL	1964-12-15	133	8	tt0058213	Crime-Drama-Horror-Mystery-Thriller
Hard Times	1975	NULL	NULL	1975-10-08	93	7.8	tt0073092	Drama
How to Make a Monster	1958	NULL	NULL	1958-07-01	73	5	tt0051746	Horror-Science Fiction
Heropanti	2014	4200000	10000000	2014-05-23	146	NULL	tt3142232	Action-Romance
Hard Luck	2006	NULL	NULL	2006-08-22	101	6	tt0489070	Action-Adventure-Crime-Drama-Thriller
His Girl Friday	1940	NULL	NULL	1940-01-11	92	8.2	tt0032599	Comedy-Drama-Romance
Hester Street	1975	NULL	NULL	1975-01-01	90	NULL	tt0073107	Drama-Romance
Halo 4: Forward Unto Dawn	2012	8500000	NULL	2012-10-05	92	6.7	tt2262308	Action-Science Fiction
Haunt	2013	NULL	NULL	2013-11-06	86	4.9	tt2386278	Horror
House of Usher	1960	270000	NULL	1960-06-22	79	6.8	tt0053925	Horror-Thriller
Heavenly Creatures	1994	5000000	3049135	1994-09-02	99	6.8	tt0110005	Drama-Fantasy-Indie
Hotel Noir	2012	NULL	NULL	2012-10-09	97	6.1	tt2403883	Crime-Drama
Houseboat	1958	NULL	NULL	1958-11-19	110	6.9	tt0051745	Comedy-Drama-Romance-Family
Hunter Prey	2009	425000	NULL	2010-05-01	90	8.3	tt1270291	Science Fiction-Thriller
Happy Christmas	2014	NULL	NULL	2014-07-25	78	6	tt2955096	Comedy-Drama
Heaven Is for Real	2014	NULL	NULL	2014-04-16	99	6.9	tt1929263	Drama
Heatstroke	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Haapus	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Hocus Pocus	1993	28000000	39514713	1993-07-16	96	6	tt0107120	Comedy-Fantasy-Family
Hercules Reborn	2014	NULL	NULL	2014-07-08	90	4.5	tt3499424	Action-Adventure
How to Murder Your Wife	1965	NULL	NULL	1965-01-26	118	6.5	tt0058212	Comedy
Hope Floats	1998	NULL	NULL	1998-05-29	114	5.9	tt0119313	Drama-Romance
Hes Your Dog Charlie Brown	1968	NULL	NULL	1968-02-14	24	NULL	tt0063048	Animation-Drama-Family
How to Train Your Dragon 2	2014	NULL	NULL	2014-06-13	102	8.4	tt1646971	Action-Adventure-Animation-Comedy-Fantasy-Family
Hardcore	2004	NULL	NULL	2004-03-12	96	6	tt0396630	Crime-Drama
Hands of the Ripper	1971	NULL	NULL	1971-10-17	85	6.3	tt0067176	Horror-Thriller
Hansel and Gretel	1987	NULL	NULL	1987-01-01	84	7	tt0093144	Fantasy-Science Fiction-Family
Hills Have Eyes The	1977	230000	25000000	1977-07-22	89	7.3	tt0077681	Horror
Hold Up Down	2005	NULL	NULL	2005-11-03	96	NULL	tt0461523	NULL
Hitler: The Rise of Evil	2003	NULL	NULL	2003-03-18	179	6.9	tt0346293	Drama-History
Heidi	1993	NULL	NULL	1993-01-13	NULL	8	tt0107099	Family
Hidalgo	2004	100000000	108103450	2004-02-17	136	6.9	tt0317648	Adventure
Hollow The	2004	NULL	NULL	2004-10-24	83	NULL	tt0367854	Horror-Indie
Hiroshima	2005	NULL	NULL	2005-08-05	89	8	tt0475296	Documentary-Drama
Hawaii Oslo	2004	NULL	NULL	2004-09-24	125	8.3	tt0427339	Drama-Foreign
High Society	1956	2000000	NULL	1956-07-17	111	6.2	tt0049314	Comedy-Drama-Music-Romance
Heaven Can Wait	1978	NULL	NULL	1978-06-28	101	6.3	tt0077663	Comedy-Drama-Fantasy-Romance-Sports Film
Hero	1992	42000000	NULL	1992-10-02	117	5.8	tt0104412	Comedy-Drama-Mystery-Thriller
In Lieu of Flowers	2014	NULL	NULL	NULL	NULL	NULL	NULL	NULL
It The Terror from Beyond Space	1958	NULL	NULL	1958-07-31	69	6.8	tt0051786	Horror-Science Fiction
Iceman	1984	NULL	NULL	1984-04-13	100	6.8	tt0087452	Drama-Science Fiction
In the Blood	2014	10000000	NULL	2014-04-04	108	6.3	tt2101570	Action-Crime-Thriller
Izbavitelj	1976	NULL	NULL	1976-01-01	NULL	NULL	tt0074701	NULL
I Will Follow You Into the Dark	2012	5000000	NULL	2012-12-20	107	4.4	tt2179087	Drama-Horror-Thriller-Romance
In Fear	2013	NULL	NULL	2013-11-15	85	5.5	tt2165859	Thriller
Inventing the Abbotts	1997	NULL	5926128	1997-04-04	110	7	tt0119381	Drama-Romance
Intermezzo: A Love Story	1939	NULL	NULL	1939-09-22	70	NULL	tt0031491	Drama-Romance
Interrabang	1969	NULL	NULL	1969-12-31	88	NULL	tt0064488	NULL
In Secret	2013	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Irresistible	2006	NULL	NULL	2006-10-11	103	6	tt0448564	Drama-Mystery-Thriller
I Am Soldier	2014	NULL	NULL	2014-03-17	84	5.2	tt2717318	Action-Thriller-War
I Know That Voice	2013	NULL	NULL	2013-11-06	90	7.6	tt2113683	Documentary
I Am	2010	NULL	NULL	2010-10-01	89	8.3	tt1497617	Documentary-Drama
I Am a Dad	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
I Am a King	2012	NULL	NULL	2012-08-08	120	6	tt2617852	NULL
I Am a Sex Addict	2005	NULL	NULL	2006-01-27	98	6	tt0428649	Comedy-Romance
I Am Bruce Lee	2011	NULL	NULL	NULL	NULL	NULL	NULL	NULL
I Am David	2003	NULL	NULL	2003-01-01	90	8.5	tt0327919	Drama-Family
I Am Gabriel	2012	375000	NULL	2012-08-28	93	10	tt2040608	Drama
I Am Legend	2007	150000000	583184161	2007-12-13	101	6.6	tt0480249	Action-Drama-Horror-Science Fiction-Thriller
I Am Number Four	2011	50000000	144492830	2011-02-18	109	6.1	tt1464540	Action-Adventure-Drama-Science Fiction-Thriller
I Am Omega	2007	NULL	NULL	2007-11-18	90	4	tt1075746	Action-Horror-Science Fiction-Thriller
I Am Sam	2001	22000000	40270895	2001-12-28	132	7	tt0277027	Drama
I Can Do Bad All By Myself	2009	NULL	NULL	2009-09-11	113	6	tt1385912	Comedy-Drama
I Come With The Rain	2008	NULL	NULL	NULL	NULL	NULL	NULL	NULL
I Confess	1953	NULL	NULL	1953-03-22	95	6.8	tt0045897	Crime-Drama-Mystery-Thriller
I Could Never Be Your Woman	2007	24000	NULL	2007-05-11	97	5.1	tt0466839	Comedy-Drama-Romance
I Dont Know How She Does It	2011	NULL	NULL	2011-09-16	89	5.7	tt1742650	Comedy
I Dreamed of Africa	2000	NULL	NULL	2000-05-05	114	8.5	tt0167203	Action-Drama
I Hate Luv Storys	2010	NULL	NULL	2010-07-02	135	6.3	tt1667838	Comedy-Drama-Romance-Foreign
I Heart Huckabees	2004	22000000	NULL	2004-09-10	106	6.2	tt0356721	Comedy-Romance-Indie
I Hope They Serve Beer in Hell	2009	7000000	1429299	2009-09-25	106	5.4	tt1220628	Comedy-Drama
I Know What You Did Last Summer	1997	17000000	125586134	1997-10-17	100	5.7	tt0119345	Horror-Mystery-Thriller
I Know Who Killed Me	2007	12000000	9620399	2007-07-27	105	5.4	tt0897361	Crime-Mystery-Thriller
I Love You Beth Cooper	2009	18000000	NULL	2009-07-10	102	5.3	tt1032815	Comedy-Romance
I Love You Phillip Morris	2009	13000000	10652035	2009-01-18	98	6.1	tt1045772	Action-Comedy-Drama-Romance
I Love You to Death	1990	NULL	NULL	1990-04-06	94	6	tt0099819	Action-Comedy-Crime
I Love You Alice B Toklas	1968	NULL	NULL	1968-10-06	92	7.8	tt0063115	Comedy-Romance
I Love You Beth Cooper	2009	18000000	NULL	2009-07-10	102	5.3	tt1032815	Comedy-Romance
I Love You Man	2009	41000000	71636986	2009-03-20	105	6.6	tt1155056	Comedy
I Melt with You	2011	NULL	NULL	2011-12-09	129	6.9	tt1691920	Drama-Thriller
I Now Pronounce You Chuck & Larry	2007	85000000	186054174	2007-07-19	115	6	tt0762107	Comedy-Romance
I Really Hate My Job	2007	NULL	NULL	2007-01-01	90	NULL	tt0831299	Comedy-Drama-Indie-Foreign
I Saw the Devil	2010	NULL	NULL	2010-08-12	141	7.5	tt1588170	Horror-Thriller
I Sell The Dead	2008	NULL	NULL	2008-08-07	85	7.5	tt0902290	Comedy-Drama-Horror
I Spit On Your Grave	2010	2000000	280581	2010-10-08	108	6.7	tt1242432	Crime-Horror-Suspense
I Spy	2002	70000000	33561137	2002-10-31	97	5.4	tt0297181	Action-Adventure-Comedy-Thriller
I Still Know What You Did Last Summer	1998	65000000	40002112	1998-11-13	100	5.3	tt0130018	Horror-Mystery-Thriller
I Think I Love My Wife	2007	11000000	13196245	2007-03-16	90	7.6	tt0770772	Comedy-Romance
I Wake Up Screaming	1941	NULL	NULL	1941-10-31	82	5.5	tt0033740	Crime-Drama-Thriller
I Walk the Line	1970	NULL	NULL	1970-11-18	97	6.5	tt0065874	Drama
I Want a Dog for Christmas Charlie Brown	2003	NULL	NULL	2003-12-09	49	6.7	tt0387301	Animation-Comedy-Family-Kids
I Want Candy	2007	NULL	NULL	2007-03-23	85	5.3	tt0791309	Comedy-Drama-Foreign
I Want Someone to Eat Cheese With	2006	NULL	NULL	2006-01-01	NULL	NULL	tt0391229	Comedy-Romance-Indie
I Want Your Love	2010	NULL	NULL	NULL	NULL	NULL	NULL	NULL
I Anna	2012	NULL	NULL	2012-03-03	93	6.1	tt1587411	Drama-Mystery-Thriller
I Madman	1989	NULL	NULL	1989-01-01	89	8	tt0097557	Horror-Suspense-Thriller
I Robot	2004	120000000	347234916	2004-07-15	115	6.4	tt0343818	Action-Science Fiction
ID	1995	NULL	NULL	1995-05-05	107	7.8	tt0113375	Crime-Drama
Icarus	2010	NULL	NULL	2010-09-10	88	5.4	tt1261862	Action-Drama-Thriller
Ice Age	2002	60000000	383259213	2002-03-15	81	6.5	tt0268380	Adventure-Animation-Comedy-Family
Ice Age: Dawn of the Dinosaurs	2009	90000000	196573705	2009-07-01	94	6.3	tt1080016	Adventure-Animation-Comedy-Family
Ice Age: The Meltdown	2006	75000000	195330621	2006-03-31	91	6.2	tt0438097	Adventure-Animation-Comedy-Family
Ice Castles	2010	NULL	NULL	2010-02-09	95	9.3	tt1411276	Drama-Romance
Ice Harvest The	2005	NULL	NULL	2005-09-03	88	5.7	tt0400525	Action-Adventure-Comedy-Crime-Drama-Thriller
Ice Quake	2010	NULL	NULL	2010-12-11	91	4	tt1657284	Science Fiction
Ice Storm The	1997	18	7	1997-09-27	112	7.2	tt0119349	Drama-Indie
Ice Twisters	2009	NULL	NULL	2009-11-14	90	4.3	tt1334456	Action-Science Fiction
Ichimei	2011	NULL	NULL	2011-10-15	126	6.6	tt1728196	Drama-Foreign
Identity	2003	30000000	90259536	2003-04-25	90	7.1	tt0309698	Mystery-Thriller
Ides Of March The	2011	12500000	NULL	2011-10-07	101	6.1	tt1124035	Drama
Idi i smotri	1985	NULL	NULL	1985-07-01	136	8.1	tt0091251	Action-Drama-History-War
Idiocracy	2006	30000000	495303	2006-09-01	84	6.4	tt0387808	Adventure
Idioterne	1998	NULL	NULL	1998-04-28	117	7.4	tt0154421	Comedy-Drama
Ieri oggi domani	1963	NULL	NULL	1963-12-20	119	7.5	tt0057171	Comedy-Drama-Romance-Indie-Foreign
If I Should Fall from Grace: The Shane MacGowan Story	2001	NULL	NULL	2002-12-17	NULL	7.5	tt0362751	Documentary-Music
If Only	2004	NULL	NULL	2004-01-23	92	6.4	tt0332136	Action-Adventure-Drama-Science Fiction-Romance
If	1968	NULL	NULL	1968-12-19	111	7.4	tt0063850	Drama
Igeoshi beobida	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Igor	2008	25000000	30000000	2008-09-19	87	6.1	tt0465502	Animation-Comedy-Drama-Family-Indie
Ikiru	1952	NULL	55240	1952-10-09	143	8.7	tt0044741	Drama
Iklimler	2006	NULL	NULL	2006-05-21	101	7	tt0498097	Drama-Romance-Indie-Foreign
Il Bisbetico Domato	1980	NULL	NULL	1980-12-12	104	8.4	tt0080439	Comedy
Il Buono il brutto il cattivo	1966	1200000	6000000	1966-12-23	161	7.5	tt0060196	Action-Adventure-Western
Il Divo	2008	7275000	11260366	2008-05-23	110	7.3	tt1023490	Drama-Indie-Foreign
Il giorno della civetta	1968	NULL	NULL	1968-02-17	NULL	6	tt0063010	Crime-Drama
Il paese delle spose infelici	2011	NULL	NULL	2011-11-10	82	7	tt2109146	Drama
Il pleut sur Santiago	1975	NULL	NULL	1975-12-10	NULL	6	tt0073149	Drama-Thriller
Il Postino	1994	NULL	NULL	1994-09-22	108	8.7	tt0110877	Comedy-Drama-Romance
Il sole anche di notte	1990	NULL	NULL	1990-01-01	112	10	tt0100650	Drama
Ile Wazy Kon Trojanski	2008	NULL	NULL	2008-12-26	117	6.5	tt1344726	NULL
Illegal Tender	2007	NULL	3106835	2007-08-24	108	5.7	tt0775488	Action-Crime-Drama-Thriller
Illusionist The	2006	40000000	86915017	2006-08-18	110	6.8	tt0443543	Drama-Fantasy-Thriller-Romance
Ilsa Harem Keeper of the Oil Sheiks	1976	NULL	NULL	1976-03-01	94	NULL	tt0074670	Action-Horror-Indie
Iluzija	2004	NULL	NULL	2006-03-17	107	NULL	tt0368962	Drama-Foreign
Im Juli	2000	NULL	NULL	2000-08-24	100	8.6	tt0177858	Comedy-Drama-Romance
Ima ai ni yukimasu	2004	NULL	NULL	2004-01-01	119	5.9	tt0442268	Drama-Fantasy-Romance
Imaginarium Of Doctor Parnassus The	2009	30000000	58933956	2009-12-24	123	6.4	tt1054606	Adventure-Fantasy-Mystery
Imaginary Heroes	2004	NULL	NULL	2004-10-14	111	NULL	tt0373024	Comedy-Drama
Imagine Me & You	2005	NULL	2455831	2005-02-01	94	7	tt0421994	Comedy-Drama-Romance
Imagine That	2009	NULL	NULL	2009-07-12	107	6.7	tt0780567	Comedy-Drama-Fantasy-Family
Imitation of Life	1934	NULL	NULL	1934-11-26	111	6	tt0025301	Drama-Romance
Imitation Of Life	1959	NULL	NULL	1959-04-30	125	7	tt0052918	Drama-Romance
Immortals	2011	75000000	NULL	2011-11-11	110	5.6	tt1253864	Action-Drama-Fantasy
Immortel	2004	NULL	NULL	2004-03-13	103	6.9	tt0314063	Action-Drama-Science Fiction
Impact Point	2008	NULL	NULL	2008-06-13	90	4.8	tt1086841	Thriller-Romance
Impardonnables	2011	NULL	NULL	2011-09-09	111	6	tt1583737	Drama
Import/Export	2007	NULL	NULL	2007-05-21	135	NULL	tt0459102	Drama-Indie-Foreign
Importance Of Being Earnest The	1952	NULL	NULL	1952-12-22	95	8	tt0044744	Comedy-Drama-Romance-Foreign
Importance Of Being Earnest The	2002	NULL	NULL	2002-05-17	94	7.4	tt0278500	Comedy-Drama-History-Romance
Imposible Lo	2012	42000000	130708631	2012-10-11	113	6.6	tt1649419	Disaster-Drama-History-Thriller
Imposter The	2008	NULL	NULL	2008-10-12	NULL	NULL	tt1175292	NULL
Imposter The	2012	NULL	NULL	2012-07-13	95	6.6	tt1966604	Documentary-Drama
Impostor	2002	40000000	NULL	2001-12-03	102	6.3	tt0160399	Action-Science Fiction-Thriller
Impulse	1984	NULL	NULL	1984-09-28	91	NULL	tt0087464	Mystery-Science Fiction-Suspense-Thriller
Impulse	2008	2000000	NULL	2008-04-15	101	4.6	tt1078899	Mystery-Thriller
Imsai Arasan 23 M Pulikesi	2006	NULL	NULL	NULL	NULL	NULL	NULL	NULL
iMurders	2008	NULL	NULL	2008-08-09	98	4	tt1007032	Drama-Horror-Mystery-Suspense-Thriller-Indie
In 3 Tagen bist du tot	2006	2000000	NULL	2006-07-21	97	8	tt0808315	Horror-Thriller-Foreign
In a Dark Place	2006	NULL	NULL	2006-07-21	95	6	tt0460435	Horror-Thriller-Foreign
In a Lonely Place	1950	NULL	NULL	1950-05-17	94	8.1	tt0042593	Drama-Mystery-Thriller-Film Noir
In Bruges	2008	15000000	32002538	2008-02-08	107	7.1	tt0780536	Action-Comedy-Crime-Drama-Thriller
In Case of Love	2010	NULL	NULL	2010-09-03	78	NULL	tt1848959	Drama-Romance
In Crowd The	2000	15000000	5217498	2000-07-19	105	6.5	tt0163676	Thriller
In Darkness	2011	NULL	1024295	2011-09-02	145	8.2	tt1417075	Drama-War
In Dreams	1998	NULL	NULL	1998-10-01	30	NULL	tt0177023	NULL
In Film Nist	2011	NULL	NULL	2011-09-27	75	8.8	tt1667905	Documentary-Foreign
In Hell	2003	NULL	NULL	2003-11-24	96	5.8	tt0339135	Action-Drama-Thriller
In Her Shoes	2005	NULL	32200000	2005-11-03	130	5.5	tt0388125	Comedy-Drama-Romance
In Her Skin	2009	7000000	NULL	2009-03-13	107	5.6	tt0995851	Drama-Thriller
