title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
Saved	2004	NULL	NULL	2004-01-21	92	5.7	tt0332375	Comedy-Drama-Family-Indie
Saving Face	2012	NULL	NULL	2012-03-08	40	9.5	tt2140371	Comedy-Documentary-Drama-Romance
Saving Grace	2000	NULL	NULL	2000-01-24	93	6.5	tt0195234	Comedy-Crime
Saving Private Ryan	1998	70000000	481840909	1998-07-24	169	7.3	tt0120815	Drama-History-War
Saving Shiloh	2006	NULL	NULL	2006-04-05	90	9	tt0472175	Drama-Family
Saving Winston	2011	30000	NULL	2011-10-03	86	4	tt1942961	NULL
Savior	1998	10000000	NULL	1998-11-20	99	5.5	tt0120070	Drama
Saw	2004	1200000	102000000	2004-01-19	103	6.6	tt0387564	Crime-Horror-Mystery
Saw 3D	2010	17000000	45300000	2010-10-28	90	6	tt1477076	Crime-Horror
Saw II	2005	4000000	152925093	2005-10-28	92	5.9	tt0432348	Horror
Saw III	2006	10000000	163876815	2006-10-27	108	5.9	tt0489270	Crime-Horror-Thriller
Saw IV	2007	10000000	139352633	2007-10-25	93	5.5	tt0890870	Crime-Horror-Thriller
Saw Rebirth	2005	NULL	NULL	2005-10-24	6	6	tt0818519	NULL
Saw V	2008	10800000	113857533	2008-10-24	92	6.1	tt1132626	Crime-Horror-Thriller
Saw Vi	2009	11000000	62093212	2009-10-23	90	5.9	tt1233227	Horror-Mystery
Say Anything	1989	NULL	20036737	1989-04-14	100	6.8	tt0098258	Comedy-Drama-Romance
Sayonara itsuka	2010	NULL	NULL	2010-01-23	170	4	tt1383251	Drama-Romance-Foreign
Scandalo	1976	NULL	NULL	1976-01-01	116	NULL	tt0076668	NULL
Scanner Darkly A	2006	8500000	5480996	2006-07-07	100	6.6	tt0405296	Animation-Crime-Drama-Science Fiction-Thriller
Scanners	1981	4100000	14225876	1981-01-16	103	6.5	tt0081455	Horror-Science Fiction-Thriller
Scanners II: The New Order	1991	NULL	NULL	1991-06-28	104	NULL	tt0102848	Action-Horror-Science Fiction
Scanners III: The Takeover	1992	NULL	NULL	1992-01-31	101	4	tt0105322	Action-Horror-Science Fiction
Scapegoat The	2012	NULL	NULL	2012-09-09	100	8	tt2084977	NULL
Scaphandre Et Le Papillon Le	2007	14000000	19689095	2007-05-22	112	7.9	tt0401383	Drama-Indie
Scaramouche	1952	NULL	NULL	1952-05-08	115	8	tt0045125	Action-Adventure-Drama
Scarecrow	1973	NULL	NULL	1973-04-11	112	6.8	tt0070643	Drama-Thriller
Scarecrows	1988	NULL	NULL	1988-09-28	83	5.5	tt0096046	Horror
Scared Shrekless	2010	NULL	NULL	2010-10-28	21	5.9	tt1725156	Animation-Comedy
Stitch	2014	1500000	NULL	2014-02-11	94	NULL	tt1864492	Thriller
Scarface	1983	25000000	65884703	1983-12-08	170	7.4	tt0086250	Action-Adventure-Crime-Drama-Thriller
Scarlet Claw The	1944	NULL	NULL	1944-05-26	74	7.7	tt0037248	Crime-Mystery-Thriller
Scarlet Pimpernel The	1982	NULL	NULL	1982-11-09	142	8.8	tt0084637	Action-Drama-Romance-TV Movie
Scarlet Street	1945	NULL	NULL	1945-12-28	103	9.1	tt0038057	Drama
Scary Movie	2000	19000000	278019771	2000-07-07	88	5.9	tt0175142	Comedy
